Account ID,Risk Score,Cluster,Risk Level
529,26.91,3,Low
530,13.14,3,Low
531,11.18,3,Low
532,4.62,3,Low
533,7.56,0,Low
534,15.86,2,Low
535,31.63,2,Low
536,4.53,3,Low
537,8.98,2,Low
538,6.49,2,Low
539,6.0,2,Low
540,6.67,2,Low
541,4.38,3,Low
542,19.47,3,Low
543,23.18,3,Low
544,7.53,2,Low
545,7.16,3,Low
546,5.37,3,Low
547,12.81,2,Low
548,9.98,2,Low
549,5.88,3,Low
550,14.75,3,Low
551,1.88,3,Low
552,4.54,3,Low
553,7.4,3,Low
554,5.28,3,Low
555,11.11,3,Low
556,4.75,3,Low
557,7.79,3,Low
558,5.52,3,Low
559,7.6,3,Low
560,18.75,0,Low
561,4.84,3,Low
562,12.07,0,Low
563,10.61,3,Low
564,3.13,3,Low
565,2.34,3,Low
566,4.88,3,Low
567,10.37,3,Low
568,11.11,3,Low
569,17.64,3,Low
570,11.01,3,Low
571,8.09,3,Low
572,10.01,3,Low
573,16.01,3,Low
574,9.56,2,Low
575,4.2,3,Low
576,11.68,3,Low
577,3.25,3,Low
578,14.5,3,Low
579,1.79,3,Low
580,8.94,2,Low
581,26.36,2,Low
582,1.75,3,Low
583,4.47,3,Low
584,13.47,3,Low
585,5.07,3,Low
586,12.5,3,Low
587,3.14,3,Low
588,2.44,3,Low
589,1.66,3,Low
590,3.51,3,Low
591,6.97,3,Low
592,8.25,2,Low
593,4.02,3,Low
594,4.77,3,Low
595,16.54,2,Low
596,8.45,3,Low
597,5.61,3,Low
598,12.17,3,Low
599,15.82,0,Low
600,59.95,3,Medium
601,37.83,3,Low
602,7.71,3,Low
603,1.77,3,Low
604,5.21,3,Low
605,5.42,3,Low
606,7.01,3,Low
607,15.88,2,Low
608,7.65,3,Low
609,3.11,3,Low
610,16.5,3,Low
611,4.87,2,Low
612,7.19,3,Low
613,5.88,3,Low
614,4.43,3,Low
615,9.96,3,Low
616,11.5,2,Low
617,14.78,3,Low
618,5.51,3,Low
619,5.05,3,Low
620,11.26,3,Low
621,5.04,2,Low
622,10.41,0,Low
623,11.89,3,Low
624,5.43,3,Low
625,11.22,3,Low
626,5.33,3,Low
627,5.63,3,Low
628,5.09,3,Low
629,23.31,3,Low
630,8.0,3,Low
631,3.21,3,Low
632,16.6,2,Low
633,8.79,3,Low
634,8.4,0,Low
635,2.51,3,Low
636,23.28,3,Low
637,8.22,3,Low
638,9.11,3,Low
639,29.24,3,Low
640,4.3,3,Low
641,3.36,3,Low
642,7.41,3,Low
643,12.38,0,Low
644,8.33,3,Low
645,10.99,0,Low
646,7.96,3,Low
647,18.25,3,Low
648,23.03,3,Low
649,5.96,3,Low
650,38.11,0,Low
651,14.51,3,Low
652,5.67,3,Low
653,3.58,3,Low
654,6.52,2,Low
655,6.4,2,Low
656,5.54,3,Low
657,3.34,3,Low
658,16.7,3,Low
659,4.86,3,Low
660,12.5,3,Low
661,18.29,3,Low
662,9.87,3,Low
663,8.12,3,Low
664,11.88,3,Low
665,5.09,3,Low
666,8.11,3,Low
667,10.57,3,Low
668,5.47,0,Low
669,5.39,0,Low
670,32.14,3,Low
671,15.91,3,Low
672,5.43,3,Low
673,10.2,3,Low
674,7.6,3,Low
675,4.01,3,Low
676,1.2,3,Low
677,24.63,3,Low
678,4.66,3,Low
679,10.23,2,Low
680,9.85,3,Low
681,6.66,3,Low
682,6.59,3,Low
683,8.35,3,Low
684,3.0,3,Low
685,5.7,3,Low
686,9.99,3,Low
687,20.51,1,Low
688,20.12,3,Low
689,6.66,3,Low
690,24.79,3,Low
691,10.92,2,Low
692,4.97,3,Low
693,1.42,3,Low
694,7.94,3,Low
695,9.79,3,Low
696,44.41,3,Medium
697,10.61,3,Low
698,8.42,3,Low
699,9.17,3,Low
700,15.16,2,Low
701,17.49,0,Low
702,15.28,0,Low
703,9.09,3,Low
704,15.97,3,Low
705,5.84,3,Low
706,4.69,3,Low
707,4.43,3,Low
708,42.43,3,Medium
709,1.85,2,Low
710,22.22,2,Low
711,16.94,3,Low
712,19.79,2,Low
713,10.98,3,Low
714,6.17,2,Low
715,20.03,3,Low
716,18.8,3,Low
717,16.05,3,Low
718,10.14,3,Low
719,6.28,3,Low
720,11.02,3,Low
721,6.07,2,Low
722,9.16,0,Low
723,31.2,3,Low
724,9.37,3,Low
725,3.6,3,Low
726,17.14,0,Low
727,8.09,3,Low
728,8.46,3,Low
729,8.71,3,Low
730,4.0,3,Low
731,9.97,3,Low
732,13.16,3,Low
733,4.19,3,Low
734,15.82,3,Low
735,4.42,3,Low
736,9.98,2,Low
737,5.32,2,Low
738,4.18,2,Low
739,10.37,2,Low
740,6.2,2,Low
741,12.26,3,Low
742,10.33,3,Low
743,10.34,3,Low
744,11.34,3,Low
745,13.28,3,Low
746,8.1,3,Low
747,15.69,3,Low
748,40.26,3,Medium
749,35.18,3,Low
750,5.44,3,Low
751,1.52,3,Low
752,5.0,2,Low
753,7.04,3,Low
754,1.93,3,Low
755,14.05,3,Low
756,13.14,3,Low
757,10.12,3,Low
758,2.14,3,Low
759,2.48,3,Low
760,19.74,3,Low
761,7.48,2,Low
762,10.75,3,Low
763,5.73,3,Low
764,21.02,3,Low
765,7.06,3,Low
766,3.59,3,Low
767,4.52,0,Low
768,19.22,3,Low
769,19.5,2,Low
770,6.21,3,Low
771,5.27,3,Low
772,3.19,3,Low
773,17.11,3,Low
774,22.71,2,Low
775,10.41,3,Low
776,4.91,3,Low
777,6.05,3,Low
778,6.85,3,Low
779,16.66,3,Low
780,26.79,3,Low
781,36.55,3,Low
782,16.98,0,Low
783,13.43,2,Low
784,22.41,2,Low
785,28.94,2,Low
786,17.62,3,Low
787,17.31,3,Low
788,4.31,3,Low
789,2.8,3,Low
790,18.05,3,Low
791,3.77,3,Low
792,54.24,3,Medium
793,11.01,2,Low
794,7.6,2,Low
795,3.69,2,Low
796,11.87,3,Low
797,12.77,3,Low
798,16.65,2,Low
799,35.66,3,Low
800,11.82,3,Low
801,4.34,2,Low
802,10.7,2,Low
803,16.59,1,Low
804,13.22,2,Low
805,28.47,0,Low
806,9.87,2,Low
807,13.76,2,Low
808,2.95,3,Low
809,7.85,2,Low
810,10.16,3,Low
811,6.41,3,Low
812,15.08,3,Low
813,17.9,3,Low
814,1.99,3,Low
815,14.33,3,Low
816,2.7,3,Low
817,8.93,3,Low
818,15.9,3,Low
819,3.33,3,Low
820,15.64,3,Low
821,14.1,2,Low
822,12.84,2,Low
823,3.72,3,Low
824,24.59,0,Low
825,2.14,3,Low
826,11.26,3,Low
827,16.75,3,Low
828,9.15,2,Low
829,44.69,3,Medium
830,9.0,0,Low
831,21.92,0,Low
832,5.71,3,Low
833,13.13,3,Low
834,13.53,0,Low
835,22.88,2,Low
836,4.5,3,Low
837,5.45,3,Low
838,13.17,3,Low
839,3.6,3,Low
840,6.27,3,Low
841,5.95,3,Low
842,9.84,3,Low
843,28.45,3,Low
844,12.79,0,Low
845,9.4,3,Low
846,2.94,2,Low
847,12.58,3,Low
848,34.66,3,Low
849,15.44,3,Low
850,10.3,3,Low
851,37.12,3,Low
852,7.33,3,Low
853,13.58,2,Low
854,10.93,3,Low
855,5.5,3,Low
856,6.13,0,Low
857,6.86,3,Low
858,6.15,3,Low
859,3.06,2,Low
860,3.4,3,Low
861,22.0,3,Low
862,19.12,3,Low
863,2.0,3,Low
864,7.04,3,Low
865,7.25,3,Low
866,15.94,3,Low
867,14.44,2,Low
868,7.34,3,Low
869,28.18,0,Low
870,11.08,3,Low
871,1.85,3,Low
872,4.76,3,Low
873,3.01,3,Low
874,2.8,3,Low
875,35.91,3,Low
876,5.0,2,Low
877,11.74,0,Low
878,28.38,0,Low
879,2.37,3,Low
880,6.41,3,Low
881,1.75,3,Low
882,8.96,3,Low
883,8.79,3,Low
884,7.08,3,Low
885,48.37,3,Medium
886,10.38,3,Low
887,39.5,3,Low
888,35.67,3,Low
889,1.5,3,Low
890,6.53,3,Low
891,18.66,3,Low
892,13.93,0,Low
893,12.1,2,Low
894,5.47,0,Low
895,9.1,3,Low
896,1.94,3,Low
897,5.12,3,Low
898,9.43,0,Low
899,5.55,3,Low
900,4.88,3,Low
901,16.64,3,Low
902,20.58,3,Low
903,18.08,3,Low
904,24.52,0,Low
905,11.49,3,Low
906,6.33,3,Low
907,4.68,3,Low
908,6.17,3,Low
909,4.7,3,Low
910,17.12,3,Low
911,7.71,3,Low
912,7.75,2,Low
913,6.43,3,Low
914,20.91,3,Low
915,13.71,2,Low
916,8.3,3,Low
917,10.68,3,Low
918,1.49,3,Low
919,74.26,3,High
920,31.21,2,Low
921,10.51,3,Low
922,16.01,3,Low
923,11.48,3,Low
924,10.38,3,Low
925,3.09,3,Low
926,18.46,2,Low
927,4.0,3,Low
928,1.96,3,Low
929,3.1,3,Low
930,4.07,3,Low
931,34.77,0,Low
932,6.15,2,Low
933,3.94,2,Low
934,30.27,2,Low
935,10.23,2,Low
936,15.87,3,Low
937,5.09,3,Low
938,7.68,3,Low
939,5.78,3,Low
940,4.37,3,Low
941,5.8,3,Low
942,7.06,3,Low
943,9.47,2,Low
944,4.56,3,Low
945,18.14,2,Low
946,11.88,3,Low
947,90.52,3,High
948,17.62,3,Low
949,3.53,3,Low
950,4.99,3,Low
951,7.07,3,Low
952,4.94,3,Low
953,12.14,3,Low
954,6.29,3,Low
955,9.51,3,Low
956,8.69,3,Low
957,14.29,3,Low
958,10.98,3,Low
959,10.65,3,Low
960,2.84,3,Low
961,6.97,3,Low
962,11.13,3,Low
963,5.31,3,Low
964,2.92,3,Low
965,10.95,3,Low
966,3.4,3,Low
967,5.17,3,Low
968,13.22,3,Low
969,2.61,3,Low
970,5.4,3,Low
971,16.33,0,Low
972,2.2,3,Low
973,13.35,3,Low
974,1.88,3,Low
975,7.69,3,Low
976,20.08,3,Low
977,5.56,3,Low
978,22.55,3,Low
979,12.72,0,Low
980,9.1,0,Low
981,5.24,3,Low
982,12.73,3,Low
983,11.86,0,Low
984,46.46,3,Medium
985,12.2,3,Low
986,4.71,3,Low
987,6.77,3,Low
988,24.4,3,Low
989,7.83,2,Low
990,13.01,0,Low
991,2.89,3,Low
992,18.64,3,Low
993,16.84,3,Low
994,13.97,3,Low
995,7.23,2,Low
996,7.33,3,Low
997,6.42,2,Low
998,3.9,3,Low
999,4.64,3,Low
1000,41.93,3,Medium
1001,3.49,3,Low
1002,7.13,3,Low
1003,7.79,3,Low
1004,7.24,3,Low
1005,4.2,3,Low
1006,4.41,2,Low
1007,2.73,3,Low
1008,13.01,3,Low
1009,2.39,3,Low
1010,7.1,3,Low
1011,5.2,3,Low
1012,1.09,3,Low
1013,3.73,3,Low
1014,34.95,3,Low
1015,6.14,3,Low
1016,18.79,3,Low
1017,4.33,3,Low
1018,13.12,3,Low
1019,7.5,3,Low
1020,7.7,3,Low
1021,22.96,0,Low
1022,4.56,3,Low
1023,9.33,0,Low
1024,0.11,3,Low
1025,13.43,0,Low
1026,3.51,3,Low
1027,15.23,3,Low
1028,7.68,3,Low
1029,1.07,3,Low
1030,4.45,3,Low
1031,4.87,2,Low
1032,11.48,3,Low
1033,9.03,3,Low
1034,15.31,3,Low
1035,5.36,3,Low
1036,12.72,2,Low
1037,6.92,3,Low
1038,6.77,3,Low
1039,4.34,3,Low
1040,8.91,2,Low
1041,6.74,3,Low
1042,17.82,2,Low
1043,3.22,3,Low
1044,19.32,3,Low
1045,13.64,3,Low
1046,6.09,3,Low
1047,2.05,3,Low
1048,2.61,3,Low
1049,11.54,2,Low
1050,6.28,3,Low
1051,14.0,3,Low
1052,10.25,3,Low
1053,7.51,0,Low
1054,9.7,0,Low
1055,9.99,3,Low
1056,19.74,3,Low
1057,4.12,3,Low
1058,3.12,3,Low
1059,6.84,2,Low
1060,4.08,3,Low
1061,11.89,3,Low
1062,11.42,3,Low
1063,32.75,0,Low
1064,4.9,3,Low
1065,5.09,3,Low
1066,13.21,3,Low
1067,7.52,3,Low
1068,8.25,2,Low
1069,13.29,3,Low
1070,5.54,3,Low
1071,6.05,2,Low
1072,21.39,3,Low
1073,1.38,3,Low
1074,7.05,3,Low
1075,5.73,3,Low
1076,9.73,3,Low
1077,5.21,3,Low
1078,12.34,0,Low
1079,6.45,3,Low
1080,10.83,3,Low
1081,9.32,3,Low
1082,9.14,3,Low
1083,20.99,0,Low
1084,11.7,2,Low
1085,8.27,0,Low
1086,4.78,3,Low
1087,6.21,3,Low
1088,16.01,3,Low
1089,21.65,0,Low
1090,9.41,2,Low
1091,20.82,3,Low
1092,2.47,3,Low
1093,5.29,3,Low
1094,13.45,3,Low
1095,5.63,3,Low
1096,3.38,3,Low
1097,20.81,3,Low
1098,6.01,3,Low
1099,7.8,0,Low
1100,5.26,3,Low
1101,7.3,3,Low
1102,4.23,3,Low
1103,15.27,3,Low
1104,11.27,0,Low
1105,11.4,3,Low
1106,9.14,0,Low
1107,8.48,3,Low
1108,1.1,3,Low
1109,7.28,3,Low
1110,8.9,3,Low
1111,7.63,3,Low
1112,4.31,3,Low
1113,11.77,3,Low
1114,26.08,3,Low
1115,4.7,3,Low
1116,18.9,3,Low
1117,1.47,3,Low
1118,4.49,3,Low
1119,2.92,2,Low
1120,13.72,0,Low
1121,20.38,3,Low
1122,15.45,3,Low
1123,30.0,3,Low
1124,13.36,3,Low
1125,14.5,2,Low
1126,18.72,3,Low
1127,16.99,3,Low
1128,7.01,0,Low
1129,4.3,2,Low
1130,3.89,3,Low
1131,2.91,3,Low
1132,3.36,2,Low
1133,5.36,2,Low
1134,6.07,3,Low
1135,14.32,3,Low
1136,2.84,3,Low
1137,3.06,0,Low
1138,14.25,3,Low
1139,17.57,3,Low
1140,2.46,3,Low
1141,5.39,3,Low
1142,10.88,3,Low
1143,6.12,3,Low
1144,1.07,3,Low
1145,7.58,3,Low
1146,4.55,3,Low
1147,4.8,3,Low
1148,1.81,3,Low
1149,3.96,2,Low
1150,19.81,2,Low
1151,6.13,3,Low
1152,6.14,3,Low
1153,7.7,2,Low
1154,9.72,3,Low
1155,10.08,3,Low
1156,5.62,3,Low
1157,6.23,0,Low
1158,12.49,3,Low
1159,12.54,3,Low
1160,7.86,3,Low
1161,5.31,3,Low
1162,8.69,3,Low
1163,11.28,3,Low
1164,12.08,3,Low
1165,6.85,3,Low
1166,34.77,3,Low
1167,17.23,3,Low
1168,7.97,2,Low
1169,5.88,3,Low
1170,15.97,2,Low
1171,3.41,3,Low
1172,15.21,3,Low
1173,11.25,3,Low
1174,8.25,3,Low
1175,4.35,3,Low
1176,6.23,3,Low
1177,14.04,2,Low
1178,3.41,2,Low
1179,8.78,0,Low
1180,2.9,3,Low
1181,9.89,3,Low
1182,4.99,3,Low
1183,15.9,3,Low
1184,11.26,3,Low
1185,6.38,3,Low
1186,2.46,3,Low
1187,6.25,3,Low
1188,10.68,3,Low
1189,1.36,3,Low
1190,10.52,3,Low
1191,2.56,3,Low
1192,7.45,3,Low
1193,10.42,3,Low
1194,12.51,2,Low
1195,40.65,0,Medium
1196,6.19,3,Low
1197,8.42,3,Low
1198,2.69,3,Low
1199,2.24,3,Low
1200,2.64,3,Low
1201,19.96,0,Low
1202,2.62,3,Low
1203,1.99,3,Low
1204,17.31,3,Low
1205,9.86,2,Low
1206,6.68,3,Low
1207,2.38,3,Low
1208,21.62,2,Low
1209,7.04,3,Low
1210,12.08,3,Low
1211,14.03,3,Low
1212,6.48,3,Low
1213,54.73,3,Medium
1214,29.52,3,Low
1215,4.35,3,Low
1216,8.49,3,Low
1217,10.37,3,Low
1218,7.3,3,Low
1219,4.54,3,Low
1220,7.9,3,Low
1221,10.37,3,Low
1222,6.86,3,Low
1223,1.75,3,Low
1224,32.31,3,Low
1225,3.25,3,Low
1226,10.85,3,Low
1227,10.03,0,Low
1228,8.02,3,Low
1229,12.59,2,Low
1230,10.55,2,Low
1231,19.15,0,Low
1232,26.07,2,Low
1233,6.83,3,Low
1234,4.64,3,Low
1235,7.98,3,Low
1236,5.06,3,Low
1237,10.02,3,Low
1238,37.34,3,Low
1239,8.07,3,Low
1240,8.66,2,Low
1241,9.61,3,Low
1242,5.45,3,Low
1243,9.31,3,Low
